0;0;0;0;x;x;
1;129;210;140;b_br_27_s_o_paulo;x;
2;104;233;155;b_br_27_s_o_bernardo_do_campo;x;
3;137;180;102;b_br_27_guarulhos;x;
4;104;200;126;b_br_27_itaquaquecetuba;x;
5;120;179;109;b_br_27_campo_grande;x;
6;128;65;164;b_br_27_osasco;x;
7;117;29;222;b_br_27_barueri;x;
8;151;39;162;b_br_27_itapecerica_da_serra;x;
9;89;180;193;b_br_27_mogi_das_cruzes;x;
10;98;205;214;b_br_27_guararema;x;
11;83;0;56;b_br_27_campinas;x;
12;74;49;61;b_br_27_sumar_;x;
13;81;35;55;b_br_27_cosm_polis;x;
14;56;44;61;b_br_27_paul_nia;x;
15;218;109;27;b_br_27_jundia_;x;
16;224;45;57;b_br_27_itatiba;x;
17;232;44;40;b_br_27_cabre_va;x;
18;140;201;74;b_br_27_bragan_a_paulista;x;
19;107;141;80;b_br_27_atibaia;x;
20;147;174;77;b_br_27_piracaia;x;
21;101;220;180;b_br_27_ribeir_o_preto;x;
22;165;213;176;b_br_27_jaboticabal;x;
23;109;198;178;b_br_27_sert_ozinho;x;
24;123;227;171;b_br_27_cajuru;x;
25;166;224;181;b_br_27_santa_rosa_viterbo;x;
26;205;166;6;b_br_27_franca;x;
27;203;147;15;b_br_27_orl_ndia;x;
28;171;116;12;b_br_27_batatais;x;
29;184;137;7;b_br_27_ituverava;x;
30;145;150;18;b_br_27_gua_ra;x;
31;97;58;149;b_br_27_bebedouro;x;
32;99;92;158;b_br_27_barretos;x;
33;126;77;130;b_br_27_ol_mpia;x;
34;153;125;0;b_br_27_s_o_vicente;x;
35;98;149;2;b_br_27_itanha_m;x;
36;109;151;26;b_br_27_peru_be;x;
37;118;188;113;b_br_27_santos;x;
38;165;210;99;b_br_27_indaia;x;
39;119;121;120;b_br_27_caraguatatuba;x;
40;95;142;126;b_br_27_s_o_sebasti_o;x;
41;106;172;116;b_br_27_bairro_alto;x;
42;160;94;97;b_br_27_ubatuba;x;
43;184;154;85;b_br_27_catu_aba;x;
44;53;209;130;b_br_27_ilhabela;x;
45;70;97;119;b_br_27_s_o_jos_dos_campos;x;
46;47;56;139;b_br_27_jacare_;x;
47;65;115;109;b_br_27_andrade;x;
48;113;114;111;b_br_27_taubat_;x;
49;127;106;113;b_br_27_pindamonhangaba;x;
50;200;217;130;b_br_27_lorena;x;
51;186;224;179;b_br_27_guaratinguet_;x;
52;197;166;160;b_br_27_cunha;x;
53;185;195;169;b_br_27_areias;x;
54;178;36;95;b_br_27_campos_do_jord_o;x;
55;161;117;57;b_br_21_ant_nio_rocha;x;
56;89;176;144;b_br_27_bauru;x;
57;102;179;137;b_br_27_pederneiras;x;
58;98;188;108;b_br_27_ava_;x;
59;20;71;143;b_br_27_s_o_carlos;x;
60;3;55;149;b_br_27_ferreira;x;
61;37;50;203;b_br_27_santa_rita_do_passa_quatro;x;
62;83;242;57;b_br_27_araraquara;x;
63;66;206;88;b_br_27_ribeir_o_bonito;x;
64;90;224;99;b_br_27_boa_esperan_a_do_sul;x;
65;174;178;0;b_br_27_ja_;x;
66;235;143;0;b_br_27_barra_bonita;x;
67;191;137;7;b_br_27_bariri;x;
68;94;139;101;b_br_27_ibitinga;x;
69;107;123;49;b_br_27_mat_o;x;
70;125;126;85;b_br_27_taquaritinga;x;
71;189;194;0;b_br_27_botucatu;x;
72;191;163;0;b_br_27_s_o_manuel;x;
73;242;179;13;b_br_27_itatinga;x;
74;179;51;89;b_br_27_len_is_paulista;x;
75;200;16;102;b_br_27_agudos;x;
76;189;0;115;b_br_27_duartina;x;
77;117;70;36;b_br_27_sorocaba;x;
78;134;102;25;b_br_27_itu;x;
79;162;129;10;b_br_27_s_o_roque;x;
80;130;113;0;b_br_27_piedade;x;
81;178;159;214;b_br_27_tatu_;x;
82;220;140;179;b_br_27_cerquilho;x;
83;236;240;66;b_br_27_itapetininga;x;
84;231;189;88;b_br_27_pilar_do_sul;x;
85;237;247;72;b_br_27_angatuba;x;
86;150;127;20;b_br_27_limeira;x;
87;150;177;0;b_br_27_rio_claro;x;
88;159;174;23;b_br_27_araras;x;
89;29;215;97;b_br_27_piracicaba;x;
90;55;165;101;b_br_27_capivari;x;
91;95;74;10;b_br_27_leme;x;
92;95;94;28;b_br_27_pirassununga;x;
93;85;142;51;b_br_27_s_o_pedro;x;
94;131;168;83;b_br_27_brotas;x;
