120;245;250;
59;231;251;
55;229;239;
149;217;242;
97;214;219;
77;214;247;
41;214;214;
146;211;217;
137;210;215;
153;209;254;
58;209;210;
25;158;222;
55;207;235;
100;204;210;
108;203;207;
98;203;242;
62;202;204;
72;201;235;
27;201;240;
129;200;230;
122;200;218;
44;200;246;
98;199;217;
147;198;240;
129;197;209;
72;197;225;
62;195;236;
53;195;251;
33;194;213;
142;192;207;
80;190;240;
112;189;231;
35;189;255;
135;188;220;
123;188;215;
47;188;212;
28;188;242;
104;187;241;
119;186;224;
78;185;247;
65;185;241;
95;184;247;
28;183;209;
90;182;237;
49;182;218;
116;181;225;
27;181;213;
86;178;235;
48;177;222;
40;176;202;
24;175;241;
63;174;227;
73;173;218;
51;172;207;
63;171;202;
104;170;209;
48;170;225;
102;169;224;
61;168;227;
57;168;205;
41;167;238;
111;165;229;
107;165;242;
73;164;240;
43;163;205;
44;161;226;
97;160;254;
30;159;210;
29;159;255;
47;158;234;
25;158;217;
74;157;211;
73;157;246;
102;156;240;
94;155;204;
41;155;251;
39;155;247;
98;154;227;
22;154;250;
88;152;208;
70;152;221;
63;149;206;
49;147;213;
40;146;244;
27;145;214;
91;144;205;
49;144;214;
46;144;225;
40;144;236;
60;141;236;
49;141;222;
38;141;204;
85;140;235;
75;140;216;
73;140;204;
81;136;207;
77;136;219;
84;135;247;
74;135;201;
25;135;208;
20;135;237;
72;134;213;
33;133;204;
30;132;215;
44;131;204;
58;130;238;
44;130;252;
22;128;217;
