181;239;254;
90;239;253;
165;236;239;
46;235;247;
54;228;254;
76;222;247;
62;220;231;
97;217;248;
42;216;222;
132;209;228;
121;209;249;
129;207;220;
29;207;213;
74;206;226;
29;206;224;
62;201;217;
55;201;202;
86;198;222;
90;197;211;
121;190;239;
66;190;204;
48;189;205;
49;188;210;
111;187;211;
90;187;245;
23;186;210;
43;185;211;
121;181;201;
61;180;237;
39;180;232;
79;178;233;
61;178;230;
112;177;242;
69;175;240;
22;175;211;
97;172;216;
27;169;219;
40;165;233;
37;165;218;
30;163;213;
106;162;218;
99;162;241;
90;162;227;
75;157;224;
81;155;250;
58;152;201;
84;150;238;
63;147;210;
52;145;224;
42;144;208;
27;142;209;
42;139;205;
64;138;203;
64;133;243;
64;132;217;
26;130;242;
30;128;221;
