152;255;255;
152;247;247;
177;243;252;
165;243;249;
135;240;250;
32;239;245;
174;227;249;
81;227;229;
110;221;222;
71;221;254;
49;221;243;
108;219;246;
95;219;229;
71;219;223;
47;219;240;
124;218;252;
98;216;239;
44;214;237;
106;213;226;
155;212;224;
125;212;214;
95;211;246;
49;211;230;
97;210;235;
98;209;242;
81;208;238;
123;207;220;
94;206;232;
143;205;227;
132;205;208;
92;205;216;
73;205;229;
117;204;227;
71;204;245;
147;203;244;
118;203;255;
112;203;203;
88;203;207;
81;203;227;
121;201;222;
95;201;214;
41;200;208;
61;199;255;
34;199;209;
30;199;210;
26;197;204;
146;196;243;
55;196;246;
142;195;206;
38;195;222;
64;193;216;
140;191;227;
129;191;246;
61;190;205;
55;189;202;
49;189;218;
102;188;228;
95;188;216;
41;188;254;
103;187;236;
97;187;252;
55;187;201;
25;186;233;
48;185;235;
120;184;211;
57;184;218;
55;183;219;
36;183;230;
114;182;230;
97;182;208;
91;182;214;
66;182;241;
93;181;201;
49;181;209;
115;179;205;
67;178;225;
26;150;207;
40;175;234;
71;174;223;
83;173;240;
65;173;230;
111;172;213;
121;171;214;
110;170;211;
105;168;227;
46;168;204;
36;168;248;
36;167;215;
112;166;217;
57;166;249;
54;165;253;
105;161;208;
90;161;218;
106;160;214;
75;160;222;
107;159;250;
69;159;216;
38;158;223;
77;156;234;
40;156;234;
57;155;238;
53;153;251;
78;151;218;
57;151;229;
26;150;221;
95;149;249;
78;149;227;
55;149;213;
45;149;237;
33;148;235;
69;147;204;
42;146;222;
28;146;226;
50;145;232;
47;145;237;
33;144;204;
91;143;220;
84;142;244;
71;142;253;
26;141;236;
83;139;247;
57;139;225;
40;139;229;
24;139;227;
63;138;205;
42;138;237;
29;138;201;
81;137;228;
62;137;246;
43;137;219;
29;137;222;
58;136;216;
46;136;227;
78;135;225;
53;135;202;
20;134;250;
70;133;216;
54;132;213;
33;132;246;
22;130;244;
72;129;211;
50;129;229;
45;129;229;
63;128;207;
62;128;220;
47;128;219;
26;128;214;
